"","vrb.name","cat.name","Value"
"251","Agritourism receipts, 2012","Local Foods",0.837602358109829
"250","Agritourism receipts, 2007","Local Foods",0.161018584943875
"238","Greenhouse veg and fresh herb sq feet, 2012","Local Foods",0.000684793382912255
"1","Population, low access to store, 2010","Access and Proximity to Grocery Store",0.000147119983604872
"2","Population, low access to store, 2015","Access and Proximity to Grocery Store",0.000135456518258312
"94","SNAP redemptions/SNAP-authorized stores, 2017","Food Assistance",9.5990904419036e-05
"27","White, low access to store, 2015","Access and Proximity to Grocery Store",6.68349503623704e-05
"93","SNAP redemptions/SNAP-authorized stores, 2012","Food Assistance",5.60680721453568e-05
"129","WIC redemptions/WIC-authorized stores, 2016","Food Assistance",5.20540095393416e-05
"128","WIC redemptions/WIC-authorized stores, 2011","Food Assistance",5.15301855015704e-05
"237","Greenhouse veg and fresh herb sq feet, 2007","Local Foods",2.23564401739375e-05
"18","Children, low access to store, 2010","Access and Proximity to Grocery Store",8.935562353467e-06
"19","Children, low access to store, 2015","Access and Proximity to Grocery Store",8.39918537069821e-06
"7","Low income & low access to store, 2015","Access and Proximity to Grocery Store",8.0219408820319e-06
"6","Low income & low access to store, 2010","Access and Proximity to Grocery Store",6.62484171577192e-06
"274","Median household income, 2015","Socioeconomic Characteristics",6.4444032939728e-06
"31","Hispanic ethnicity, low access to store, 2015","Access and Proximity to Grocery Store",6.25662528796124e-06
"217","Orchard acres, 2012","Local Foods",5.67130605285857e-06
"216","Orchard acres, 2007","Local Foods",5.53546513834672e-06
"22","Seniors, low access to store, 2010","Access and Proximity to Grocery Store",2.56793623316339e-06
"39","Multiracial, low access to store, 2015","Access and Proximity to Grocery Store",2.45129287569336e-06
"23","Seniors, low access to store, 2015","Access and Proximity to Grocery Store",2.33783235397129e-06
"33","Asian, low access to store, 2015","Access and Proximity to Grocery Store",1.33316708253399e-06
"198","Vegetable acres harvested, 2007","Local Foods",3.83960452832493e-07
"199","Vegetable acres harvested, 2012","Local Foods",3.78431788094574e-07
"208","Vegetable acres harvested for fresh market, 2012","Local Foods",2.70939879649945e-07
"207","Vegetable acres harvested for fresh market, 2007","Local Foods",2.61602662318436e-07
"3","Population, low access to store (% change), 2010 -15","Access and Proximity to Grocery Store",2.43485857430753e-07
"29","Black, low access to store, 2015","Access and Proximity to Grocery Store",1.82128025315592e-07
"8","Low income & low access to store (% change), 2010 - 15","Access and Proximity to Grocery Store",1.61106192836985e-07
"16","SNAP households, low access to store, 2015","Access and Proximity to Grocery Store",9.25449498387671e-08
"166","Direct farm sales, 2012","Local Foods",8.66466236337021e-08
"165","Direct farm sales, 2007","Local Foods",6.06307587766291e-08
"37","Hawaiian or Pacific Islander, low access to store, 2015","Access and Proximity to Grocery Store",4.25661210433673e-08
"12","Households, no car & low access to store, 2015","Access and Proximity to Grocery Store",3.34424209245459e-08
"11","Households, no car & low access to store, 2010","Access and Proximity to Grocery Store",3.33550269621446e-08
"35","American Indian or Alaska Native, low access to store, 2015","Access and Proximity to Grocery Store",1.20879193743352e-08
"213","Orchard farms, 2007","Local Foods",5.03370829359966e-09
"214","Orchard farms, 2012","Local Foods",4.48884580251539e-09
"84","Full-service restaurants, 2016","Restaurant Availability and Expenditures",2.27082624435886e-09
"78","Fast-food restaurants, 2016","Restaurant Availability and Expenditures",2.18086100927149e-09
"83","Full-service restaurants, 2011","Restaurant Availability and Expenditures",1.86932609544283e-09
"77","Fast-food restaurants, 2011","Restaurant Availability and Expenditures",1.79174750973872e-09
"226","Berry acres, 2012","Local Foods",1.56767171963421e-09
"252","Agritourism receipts (% change), 2007 - 12","Local Foods",1.41020689805314e-09
"225","Berry acres, 2007","Local Foods",1.09143704083439e-09
"66","SNAP-authorized stores, 2017","Store Availability",1.0646331749477e-09
"65","SNAP-authorized stores, 2012","Store Availability",9.83391265764638e-10
"91","Expenditures per capita, restaurants, 2007*","Restaurant Availability and Expenditures",9.39504610285068e-10
"92","Expenditures per capita, restaurants, 2012*","Restaurant Availability and Expenditures",8.33881149879159e-10
"89","Expenditures per capita, fast food, 2007*","Restaurant Availability and Expenditures",4.50723225689472e-10
"24","Seniors, low access to store (% change), 2010 -15","Access and Proximity to Grocery Store",4.37293819347634e-10
"159","Farms with direct sales, 2012","Local Foods",4.09505953579579e-10
"54","Convenience stores, 2016","Store Availability",2.67229812200407e-10
"158","Farms with direct sales, 2007","Local Foods",2.58796260966339e-10
